product,tier_name,lowest_paid_tier_annual_price,research
Mailgun,Basic,180.0,"{'tier_name': ""The lowest paid tier is named 'Basic' according to Mailgun's official pricing page [df83c1], which lists it as 'Basic: Starting at $15/month (includes 10,000 emails/month)'. This is the cheapest paid plan available, with the Free tier at $0/month not qualifying as a 'paid tier'."", 'lowest_paid_tier_annual_price': 'The Basic tier costs $15 per month [df83c1]. Converted to annual pricing: $15/month × 12 months = $180 USD per year. This information was obtained directly from the official Mailgun pricing page.'}"
Postmark,Basic,180.0,"{'tier_name': ""The tier name 'Basic' was identified as the lowest paid tier (excluding free) on Postmark's official pricing page [fdfbef]. The page lists four tiers: Free ($0/month), Basic ($15/month), Pro ($16.50/month), and Platform ($18/month)."", 'lowest_paid_tier_annual_price': ""The Basic tier is priced at $15.00 per month according to Postmark's official pricing page [fdfbef]. The annual price was calculated by multiplying $15.00 by 12 months, resulting in $180 USD. The pricing page was last updated on 2026-01-21, making this information current as of the search date.""}"
Resend,Pro,240.0,"{'tier_name': ""The lowest paid tier is named 'Pro' as stated on Resend's official pricing page [e1b43a]."", 'lowest_paid_tier_annual_price': 'The Pro plan costs $20 per month, which equals $240 annually ($20 × 12). This is the lowest paid tier; Resend also offers a free tier with 3,000 emails per month, but the task specifies the lowest paid (not free) tier [e1b43a]. The Pro plan includes 50,000 emails per month with additional emails costing $0.90 per 1,000.'}"
Loops,Starter,588.0,"{'tier_name': ""The lowest paid tier is called 'Starter' according to multiple sources. Talando review states 'Starter Plan: $49/month' and buildcamp.io states 'Starter ($49/month)'. The official Loops pricing page shows a Free plan and mentions contact for enterprise pricing but does not explicitly list paid tiers by name on the visible page."", 'lowest_paid_tier_annual_price': 'The Starter tier costs $49/month across multiple sources (encharge.io, talando.com, buildcamp.io, toolquestor.com, thetruestack.com all confirm $49/month pricing). Calculated as $49 × 12 = $588 annual cost. This represents the lowest paid tier, below enterprise custom pricing.'}"
Customer.io,Essentials,1200.0,"{'tier_name': ""According to Customer.io's official pricing page, the lowest paid tier is named 'Essentials' [bd4903]."", 'lowest_paid_tier_annual_price': 'The Essentials tier is priced at $100 per month billed monthly [bd4903]. Multiplying by 12 months gives an annual price of $1,200 USD. This is the lowest paid tier; the next tier (Premium) starts at $1,000 per month billed yearly ($12,000 annually), and the Enterprise tier requires custom pricing [bd4903].'}"
Brevo,Starter,96.96,"{'tier_name': ""The lowest paid tier is named 'Starter' according to Brevo's official pricing page [3d3d59]."", 'lowest_paid_tier_annual_price': 'The Starter plan costs $8.08 per month, which calculates to $96.96 annually ($8.08 × 12 months) [3d3d59]. This information was retrieved from the official Brevo pricing page (brevo.com/pricing/) which was last updated on 2026-01-21 [3d3d59].'}"
Datadog,Sensitive Data Scanner - Detect,0.36,"{'tier_name': ""The tier name 'Sensitive Data Scanner - Detect' comes from Datadog's official pricing page [5d7993], which lists this as the lowest-priced paid offering. The name reflects the product category and tier designation as shown on their pricing page."", 'lowest_paid_tier_annual_price': ""Based on Datadog's official pricing page [5d7993], the Sensitive Data Scanner - Detect tier starts at $0.03 per ingested GB at 10% sampling per month. Calculated annually: $0.03 × 12 = $0.36 per ingested GB per year. This is the lowest starting price among all of Datadog's paid products. Note: Datadog's pricing is primarily usage-based rather than traditional fixed tiered plans. Most products charge per resource consumed (per host, per GB, per event, etc.). The fixed-price tiers with clearer pricing would include Error Tracking at $300/year or Infrastructure Pro at $180/host/year [5d7993].""}"
New Relic,Standard,99.0,"{'tier_name': ""The lowest paid tier is 'Standard' as documented in New Relic's usage plans. New Relic also offers Free, Pro, and Enterprise editions, but Standard is the entry-level paid tier [d91be6]."", 'lowest_paid_tier_annual_price': ""New Relic's Standard tier pricing for Full Platform Users is $99 USD per user annually for the first user, based on New Relic documentation [d91be6]. This represents the minimum annual cost to start using a paid tier. The pricing is usage-based with variable data ingestion costs beyond the free 100 GB tier, but $99 per year per user is the minimum user-based cost component documented [778cd0]. Note: New Relic's pricing model is complex and usage-based; this $99 figure is the documented annual per-user cost for Standard Full Platform Users, representing the minimum fixed annual commitment.""}"
Splunk,Infrastructure,180.0,"{'tier_name': ""The 'Infrastructure' tier is the lowest paid tier for Splunk Observability Cloud, priced at $15 per host per month when billed annually [89420c]."", 'lowest_paid_tier_annual_price': ""The annual price is calculated as $15 per host per month multiplied by 12 months, equaling $180 per host per year [89420c]. This is based on Splunk Observability Cloud pricing. Note: Splunk's main platform (Splunk Enterprise) uses flexible ingest or workload-based pricing models without publicly listed tier names or fixed prices [70c7e2, 7f38fc], so the Observability Cloud tier represents the lowest public paid tier information available from Splunk's official pricing pages.""}"
Grafana Cloud,Pro,228.0,"{'tier_name': ""The lowest paid tier for Grafana Cloud is 'Pro' as confirmed from the official Grafana pricing page [4e4aec]."", 'lowest_paid_tier_annual_price': 'The Pro tier costs $19/month, which equals $228/year when multiplied by 12 [4e4aec]. This is the base subscription price; additional usage-based charges apply on top for metrics, logs, and traces ingestion. The next tier up is Enterprise at $25,000/year minimum spend [4e4aec].'}"
PagerDuty,Professional,252.0,"{'tier_name': ""PagerDuty's official pricing page for Incident Management lists the Professional plan as the lowest paid tier. This is confirmed by the official source at https://www.pagerduty.com/pricing/incident-management/ [07f782]."", 'lowest_paid_tier_annual_price': ""The Professional plan costs $21 per user/month when paid yearly, which equals $252 per user annually. This is the lowest paid tier, as documented on PagerDuty's official Incident Management pricing page [07f782]. The price of $252 represents the annual cost per user. Organizations would need to multiply this by their number of users to get total annual cost. This per-user pricing model is standard for PagerDuty's incident management offering.""}"
Sentry,Team,312.0,"{'tier_name': ""The lowest paid tier is called 'Team' according to Sentry's official pricing page [b5775f]."", 'lowest_paid_tier_annual_price': ""The Team tier costs $312 per year (or $26/month when billed annually) as stated on Sentry's pricing page [b5775f]. This is the lowest paid tier; the free 'Developer' tier does not count as a paid tier, and the next tier up is Business at $960/year.""}"
Honeycomb,Pro,1560.0,"{'tier_name': ""The tier name 'Pro' was identified from Honeycomb's official pricing page (https://www.honeycomb.io/pricing) as the lowest paid tier. A free tier also exists but is not a paid tier [54126b]."", 'lowest_paid_tier_annual_price': ""The Pro tier is priced at $130 per month, which equals $1,560 annually when multiplied by 12 months. This was sourced from Honeycomb's official pricing page as of 2026-01-21 [54126b]. Enterprise tier pricing is custom and not shown publicly, making Pro the lowest paid tier for which pricing is publicly available.""}"
Lightstep,Custom pricing (not publicly listed),0.0,"{'tier_name': 'Lightstep is now part of ServiceNow Cloud Observability [85f94d, 6becd5]. The official ServiceNow pricing pages for Cloud Observability state that pricing is based on custom quotes rather than publicly listed tiers. The Lightstep documentation directs users to the Cloud Observability pricing page for pricing information, but that page also indicates custom pricing with no standard public tiers listed [85f94d, 6becd5, 1347a5].', 'lowest_paid_tier_annual_price': 'Pricing is not publicly available. ServiceNow Cloud Observability uses custom subscription-unit based pricing that requires contacting sales for quotes [85f94d, 6becd5, 1347a5]. Additionally, Lightstep has an end-of-life notice indicating it will no longer be supported as of March 1, 2026. Since pricing is not public, per task instructions, the price is reported as 0.'}"
Axiom,Axiom Starter,180.0,"{'tier_name': ""The lowest paid tier is named 'Axiom Starter' as documented on the Axiom.ai pricing page [56e84c]."", 'lowest_paid_tier_annual_price': ""Axiom Starter is priced at $15/month on the axiom.ai pricing page [56e84c]. Calculated annual price: $15/month × 12 months = $180 USD. Note: There are multiple SaaS products named 'Axiom' including axiom.co (observability platform with $25/month minimum for 'Axiom Cloud' tier = $300/year). The axiom.ai automation platform appears to be the primary 'Axiom' product based on search prominence and is likely the intended product referenced by the user [56e84c].""}"
Highlight.io,Pay-as-you-go,600.0,"{'tier_name': ""Found on Highlight.io's official pricing page [0720f8]. This is the lowest-cost paid tier, as the Free tier ($0/month) is complimentary and does not count as a paid tier per the task requirements."", 'lowest_paid_tier_annual_price': ""The Pay-as-you-go tier costs $50/month according to Highlight.io's pricing page [0720f8]. Multiplied by 12 months equals $600 annual cost, as specified in the task instructions.""}"
BetterStack,Nano,300.0,"{'tier_name': ""BetterStack uses a component-based pricing model rather than traditional named tiers. The lowest priced paid component identified is the 'Nano' bundle under Telemetry (Bundles - United States region) at $25 per month [d0da8d]. This is lower than other paid components such as the 'Responder' license for Incident Management at $29 per month [d0da8d]."", 'lowest_paid_tier_annual_price': 'The Nano bundle costs $25 per month when billed annually [d0da8d], which calculates to $300 annually ($25 * 12 months). Source: https://betterstack.com/pricing [d0da8d].'}"
MongoDB Atlas,Flex,360.0,"{'tier_name': ""The lowest paid tier is named 'Flex' according to the official MongoDB pricing page [37cc2f]."", 'lowest_paid_tier_annual_price': ""The Flex tier costs $30 per month, which equals $360 per year when multiplied by 12 months. This pricing was confirmed from MongoDB's official pricing page dated 2026-01-21 [37cc2f]. The Flex tier includes 5GB storage and 100 operations/sec as base features.""}"
PlanetScale,Base Plan,60.0,"{'tier_name': ""The lowest paid tier is called 'Base Plan' as confirmed by PlanetScale's pricing page. This plan starts at $5/month for a single node PlanetScale Postgres database for development and low-traffic workloads [91c6ae, b884da]."", 'lowest_paid_tier_annual_price': 'The Base Plan pricing is $5/month minimum (for single node Postgres), which calculates to $60 annually ($5 × 12 months) [91c6ae, b884da]. This is sourced from https://planetscale.com/pricing as of 2026-01-21. PlanetScale offers two paid tiers: Base Plan (starting at $5/month) and Enterprise Plan (custom pricing), making the Base Plan the lowest cost paid option.'}"
Supabase,Pro,300.0,"{'tier_name': ""The Pro tier is identified as the lowest paid tier on Supabase's official pricing page [71bb3c]. The page shows three tiers: Free (not a paid tier), Pro (the lowest paid tier), Team, and Enterprise."", 'lowest_paid_tier_annual_price': ""The Pro tier costs $25 per month according to Supabase's official pricing page [71bb3c]. The annual price is calculated by multiplying the monthly price by 12: $25 × 12 = $300 USD per year.""}"
Firebase,Blaze,0.0,"{'tier_name': 'Firebase has two pricing plans: Spark (no-cost) and Blaze (paid). Blaze is the lowest and only paid tier. Source: firebase.google.com/pricing [2b80c4]', 'lowest_paid_tier_annual_price': ""While Blaze is technically a paid tier, it operates on a pay-as-you-go pricing model with variable costs based on usage. The official Firebase pricing documentation states 'There is no single annual price for the Blaze plan as it is a pay-as-you-go model.' Because there is no fixed annual price, only variable usage-based charges, 0 is reported. Source: firebase.google.com/pricing [2b80c4]. Users enable billing and pay only for what they use beyond free-tier limits, with specific pricing depending on individual Firebase products and their underlying Google Cloud infrastructure costs.""}"
Fauna,Individual,270.0,"{'tier_name': ""The lowest paid tier for Fauna is called 'Individual' [79d8d3]. This information comes from SaaSworthy's Fauna pricing page which was updated January 2026."", 'lowest_paid_tier_annual_price': ""The Individual tier costs $22.50 per month, which calculates to $270.00 annually ($22.50 × 12) [79d8d3]. This was confirmed from SaaSworthy's pricing database dated January 2026. An alternative source (Airbyte) referenced a 'Startup tier' at $150/month ($1,800 annually), but the SaaSworthy source which specifically listed tier names and prices appears more current and reliable for the Individual tier pricing.""}"
CockroachDB,Standard,1576.8,"{'tier_name': ""The lowest paid tier is named 'Standard' as confirmed by CockroachDB's official pricing page. The Basic tier is free ($0/month) and therefore not a paid tier [a62412]."", 'lowest_paid_tier_annual_price': 'The Standard tier costs $0.18 per hour for 2 vCPUs [a62412]. Annual price calculated as: $0.18/hour × 24 hours/day × 365 days/year = $1,576.80 USD [a62412]. This is sourced from https://www.cockroachlabs.com/pricing/'}"
Neon,Launch,0.0,"{'tier_name': 'Neon (neon.com) is a serverless PostgreSQL database service with three pricing tiers: Free, Launch, and Scale [084664]. The Launch tier is the lowest paid tier, positioned above the Free tier [084664].', 'lowest_paid_tier_annual_price': 'The Launch tier uses usage-based pricing with no monthly minimum charge [084664]. Pricing is calculated based on compute ($0.106 per CU-hour), storage ($0.35 per GB-month), branches ($0.002 per branch-hour after 10 included branches), and instant restores ($0.20 per GB-month) [084664]. Since there is no minimum monthly commitment, the annual price is $0 if no resources are consumed. However, customers who use the Launch tier will incur charges based on actual usage [084664]. The tier represents a paid tier (as opposed to the free tier) but has no fixed annual cost.'}"
Turso,Developer,59.88,"{'tier_name': ""The lowest paid tier is 'Developer' according to Turso's official pricing page [b79ebd]. This is the first paid plan listed, with the free Starter plan being above it in the tier structure."", 'lowest_paid_tier_annual_price': ""The Developer tier is priced at $4.99 per month according to Turso's official pricing page [b79ebd] dated 2026. The annual price was calculated by multiplying the monthly price by 12: $4.99 × 12 = $59.88. The page also referenced a Hobby plan at $9/month in search results, but the official pricing page lists Developer as the lowest paid tier.""}"
Upstash,Fixed,120.0,"{'tier_name': 'The lowest paid tier for Upstash is called the ""Fixed plan"" or ""Fixed"" tier. This was identified from the Upstash Redis pricing page [d46a99].', 'lowest_paid_tier_annual_price': 'The Fixed plan is priced at $10/month, which equals $120 annually ($10 × 12 months). This is the lowest fixed-price paid tier offered by Upstash. While Upstash also offers ""Pay as you go"" pricing models (e.g., $0.2 per 100K commands for Redis), these are variable usage-based pricing rather than fixed tiers, so the Fixed plan at $120/year represents the lowest committed paid tier [d46a99]. The pricing information was accessed on 2026-01-21 from the current Upstash pricing page.'}"
Redis Cloud,Flex,60.0,"{'lowest_paid_tier_annual_price': ""Redis Cloud's pricing page (Document 64a089) shows the Flex tier costs $0.007/hour, which totals $5/month or $60 annually. Both Flex and Essentials tiers are priced identically at $5/month, but Flex is the lower-tier offering (supporting 1-100 GB) while Essentials is limited to 250 MB-12 GB. The Pro tier costs a minimum of $200/month, making it significantly more expensive. Source: https://redis.io/pricing/"", 'tier_name': 'Flex tier is the lowest-tier paid plan offered by Redis Cloud on their official pricing page (Document 64a089). It is priced at $5/month and is described as a shared cloud deployment option supporting 1-100 GB (RAM + SSD). Source: https://redis.io/pricing/'}"
Timescale,Performance,360.0,"{'tier_name': ""The lowest paid tier is called 'Performance' as confirmed on Timescale's official pricing page [e6324a]. This is the cheapest paid plan after the free tier."", 'lowest_paid_tier_annual_price': ""The Performance tier has compute starting at $30/month according to Timescale's pricing page [e6324a]. The annual price is calculated as $30/month × 12 months = $360 USD. Note that storage costs are additional ($0.177/GB-month) and vary based on usage, but the base compute tier starts at $360/year. Both tigerdata.com and timescale.com pricing pages confirm this same pricing structure as of January 21, 2026 [37368a, e6324a].""}"
InfluxDB Cloud,Usage-Based Plan,0.0,"{'tier_name': ""InfluxDB Cloud's lowest paid tier is the Usage-Based Plan [a33a6d]. This is a consumption-based pricing model with no fixed annual price."", 'lowest_paid_tier_annual_price': 'The Usage-Based Plan has no fixed annual price. Instead, it charges per usage: $0.0025/MB for data in, $0.012 per 100 query executions, $0.002/GB-hour for storage, and $0.09/GB for data out [a33a6d]. The FAQ confirms there are no upfront costs or long-term commitments and users pay only for what they use [0b47bb]. Since no fixed annual pricing is publicly available for the lowest paid tier, 0 is reported per task instructions. Annual Plans and Dedicated tiers exist but require contacting sales for pricing [a33a6d, 6cd1db], so their pricing is not publicly available.'}"
Cloudflare,Pro,240.0,"{'tier_name': ""The Pro plan is Cloudflare's lowest paid tier, as documented on their official pricing page at https://www.cloudflare.com/plans/ [565a4b]. The Free tier offers no paid options, making Pro the cheapest paid plan."", 'lowest_paid_tier_annual_price': ""The Pro plan costs $20/month when billed annually, totaling $240 per year USD ($20 × 12 months). This information was obtained from Cloudflare's official pricing page dated 2026-01-21 [565a4b]. Note that monthly billing of the Pro plan costs $25/month ($300/year), but the annual billing rate was used as it is the lower cost option.""}"
Fastly,Compute Starter,6000.0,"{'tier_name': ""The Compute Starter tier is Fastly's lowest cost paid package plan with a published price. This was identified from the official Fastly pricing page [b1b954, 9b9eae], which shows package offerings including Compute Starter at $500/month, Network Services Basic at $1,500/month, and Observability Starter at $1,500/month. While Fastly also offers usage-based pricing for individual products (such as bandwidth at $0.08/GB, requests at $0.01 per 10,000 requests, and TLS at $20 per domain per month beyond free limits), these are optional add-ons that users only incur after exceeding free tier limits. The Compute Starter represents the lowest fixed monthly cost for a named paid tier at $500/month [9b9eae]."", 'lowest_paid_tier_annual_price': ""The Compute Starter tier costs $500 per month according to the official Fastly pricing page [b1b954, 9b9eae]. Multiplying by 12 months gives an annual price of $6,000 USD [9b9eae]. This is the lowest published fixed-price paid tier on Fastly's pricing page, compared to Network Services Basic and Observability Starter which both cost $1,500/month ($18,000/year). While usage-based pricing options exist for individual products, they have no fixed minimum monthly cost and are billed only when usage occurs beyond free tier limits [12aa02].""}"
Akamai,Nanode 1 GB,60.0,"{'tier_name': ""The lowest paid tier for Akamai is the 'Nanode 1 GB' plan, which is part of their Shared CPU Linode compute offerings [95b9e4]. This was confirmed by the technical documentation which lists Shared CPU Linodes as starting at $5/month, with all other compute tiers (Dedicated CPU, High Memory, GPU, and Accelerated) being more expensive [9eb670]."", 'lowest_paid_tier_annual_price': ""The Nanode 1 GB plan costs $5.00 per month [95b9e4], which equals $60.00 annually when multiplied by 12 months. This is Akamai's lowest entry point for a paid tier across their cloud computing services. Akamai is a large enterprise company with multiple product lines (CDN, security, cloud computing), but their lowest-cost paid offering is this cloud compute plan. The pricing information was accessed from Akamai's official pricing page dated 2026-01-21 [95b9e4].""}"
Bunny.net,Standard Network,12.0,"{'tier_name': 'Bunny.net operates a pay-as-you-go CDN service with two tiers: Standard Network and Volume Network. The Standard Network is the lowest paid tier, as confirmed by the CDN pricing page query [807c68]. This tier charges per gigabyte of bandwidth with region-specific rates (Europe & North America at $0.01/GB, Asia & Oceania at $0.03/GB, South America at $0.045/GB, and Middle East & Africa at $0.06/GB) [807c68]. Both tiers have a $1 monthly minimum charge [7d1e6f].', 'lowest_paid_tier_annual_price': ""The Standard Network tier has a minimum monthly charge of $1.00 per month [7d1e6f], which equals $12.00 annually ($1.00 × 12 months). This is the lowest paid entry point for Bunny.net's CDN service, as confirmed by multiple queries of the CDN pricing page [807c68, 7d1e6f]. The Volume Network tier, while offering lower per-GB rates, has a $1.25/month minimum (as mentioned in search results), making the Standard Network the lowest absolute starting cost. Since Bunny.net is a pay-as-you-go service with no fixed named pricing tiers beyond the minimum charge, the annual price for the lowest paid tier is simply the $1 monthly minimum multiplied by 12 months.""}"
KeyCDN,Pay-as-you-go (minimum charge),48.0,"{'lowest_paid_tier_annual_price': 'KeyCDN uses a usage-based pay-as-you-go pricing model with no named pricing tiers. The lowest amount a customer would pay is the minimum monthly charge of $4 per month [2211f9], which equals $48 annually (12 months × $4). There is no free tier offered [2211f9].', 'tier_name': ""KeyCDN does not have named pricing tiers or plans [2211f9]. The lowest paid option is technically their standard usage-based model with a $4/month minimum charge, which applies to all paying customers [2211f9]. I've labeled this as 'Pay-as-you-go (minimum charge)' to reflect the actual structure of their pricing since there are no traditional named tiers like 'Starter' or 'Pro'.""}"
Auth0,Essentials,420.0,"{'tier_name': ""The tier name 'Essentials' is Auth0's lowest paid tier, found directly on their official pricing page [f3d063]."", 'lowest_paid_tier_annual_price': 'The Essentials plan is priced at $35 per month [f3d063]. Annual price calculated as $35 × 12 = $420 USD. The pricing page was accessed on 2026-01-21, confirming current pricing.'}"
Okta,Starter,72.0,"{'tier_name': ""The lowest paid tier for Okta is called 'Starter' as confirmed from the official Okta pricing page [a29570]. This is the cheapest paid plan option available for the Okta Platform (Workforce Identity)."", 'lowest_paid_tier_annual_price': 'The Starter tier is priced at $6 per user/month, billed annually [a29570]. To calculate the annual price for a single user: $6/month × 12 months = $72/year. Note that there is a $1,500 annual contract minimum required, but the per-user tier pricing converts to $72 annually [a29570]. The annual price of $72 represents the per-user annual cost when calculated from the monthly rate.'}"
Clerk,Pro,300.0,"{'tier_name': ""Clerk's pricing page (eae282) lists 'Pro plan' as the lowest paid tier, priced at $25 per month. The page also shows a free plan and an Enterprise plan (custom pricing), making Pro the cheapest paid option."", 'lowest_paid_tier_annual_price': ""The Pro plan is listed at $25 per month on Clerk's pricing page (eae282). Annual price calculated as $25 × 12 = $300. Source: https://clerk.com/pricing (last updated 2026-01-21).""}"
Supertokens,Cloud,1200.0,"{'tier_name': ""The tier name 'Cloud' refers to Supertokens' managed service offering as documented on their official pricing page [7c4afd]. This is the managed service option (as opposed to self-hosted which is free, or free Cloud tier for under 5,000 MAUs)."", 'lowest_paid_tier_annual_price': 'Supertokens Cloud service is free for under 5,000 Monthly Active Users (MAUs). However, when paid features are used, there is a minimum billing of $100 per month, which equals $1,200 annually [7c4afd]. This minimum billing applies to any use of paid add-ons like Multi-factor Authentication ($0.01 per MAU), Account Linking ($0.005 per MAU), or Dashboard users ($20 per user per month for users beyond the first 3 free ones). Therefore, $1,200 per year represents the lowest annual cost for any paid Supertokens service [7c4afd].'}"
Stytch,Standard,2988.0,"{'tier_name': ""The lowest paid tier is called 'Standard' according to the G2 pricing page which lists Stytch's pricing structure [62676d]. This tier costs $249.00 per month."", 'lowest_paid_tier_annual_price': ""The Standard tier costs $249.00 per month [62676d], which multiplies to $2,988.00 annually. Stytch offers a free tier with up to 5,000-10,000 monthly active users, but the Standard tier is the lowest paid option. The official Stytch pricing page [4a6a49] describes a 'Pay as you go' model that starts at $0/month (free tier) with additional charges for usage and optional add-ons, and an Enterprise tier with custom pricing. Recent search results from late 2024 confirm this Standard tier pricing structure [checkpoint: changelog showed pricing update in November 2024]. There is some historical context that Standard pricing was reduced from $249/month for branding customization, but current pricing remains at $249/month for this tier.""}"
WorkOS,Custom Domain,1188.0,"{'tier_name': 'Found on the official WorkOS pricing page (https://workos.com/pricing) which lists multiple products with different pricing structures. The Custom Domain tier at $99/month was identified as the lowest paid tier available across all WorkOS products [dda70c].', 'lowest_paid_tier_annual_price': 'Calculated from $99 per month × 12 months = $1,188 annually [dda70c]. This is the lowest paid tier among all WorkOS offerings, which include Single Sign-On ($125/connection/month), Directory Sync ($125/connection/month), Audit Logs ($125/month), Radar (starting at $100/month), and AuthKit (starting at $2,500/month) [dda70c].'}"
FusionAuth,Basic,444.0,"{'tier_name': ""The 'Basic' plan is listed as FusionAuth's lowest paid tier on the official pricing page [9f2d0f]."", 'lowest_paid_tier_annual_price': 'The Basic plan costs $37/month when billed monthly [9f2d0f]. Multiplying by 12 months yields $444 annually. This is the lowest-priced paid tier available, with other paid tiers (Starter, Essentials, Enterprise, Business, High Availability) all priced higher [9f2d0f]. The Community and Self-Hosted options are free, so the Basic plan is the cheapest paid offering.'}"
Descope,Pro,2988.0,"{'tier_name': ""The Pro tier is Descope's lowest paid tier, as confirmed on their official pricing page at https://www.descope.com/pricing [cd31bb]. The page lists three pricing tiers: Free Forever ($0), Pro (starts at $249/mo billed annually), and Growth (starts at $799/mo billed annually), with Enterprise available upon contact."", 'lowest_paid_tier_annual_price': 'The Pro tier is listed at $249 per month billed annually on https://www.descope.com/pricing [cd31bb]. The annual price calculation: $249/month × 12 months = $2,988 USD per year.'}"
Algolia,Grow,0.0,"{'tier_name': ""Algolia's lowest tier beyond the free 'Build' plan is called 'Grow', which is a pay-as-you-go pricing model [b08c0d]. The Grow plan includes 10,000 search requests per month and 100,000 records at no cost [a3ef68]."", 'lowest_paid_tier_annual_price': 'The Grow plan has no minimum monthly or annual cost and is free until usage exceeds the included amounts [a3ef68]. The annual price to access the Grow plan is $0 [a3ef68]. Since there is no paid tier with guaranteed minimum charges (only usage-based overages once thresholds are exceeded), the lowest paid tier annual price is 0, following the task instruction that if a product has no paid tier (meaning no tier with mandatory charges), use 0 for price. Source: https://www.algolia.com/pricing [b08c0d, a3ef68].'}"
Elasticsearch Cloud,Standard,1188.0,"{'tier_name': ""The lowest paid tier for Elasticsearch Cloud is named 'Standard' according to the Elastic Cloud Hosted pricing page [3f6798]."", 'lowest_paid_tier_annual_price': 'The Standard tier costs as low as $99 per month [3f6798], which calculates to an annual price of $1,188 USD ($99 × 12 months). This is the lowest-priced paid tier available for Elastic Cloud Hosted deployments. Note: Elasticsearch also offers a Serverless option with usage-based pricing rather than fixed tiers, but Elastic Cloud Hosted with the Standard tier represents the lowest fixed paid tier offering from the product [3f6798].'}"
Typesense Cloud,Cluster (usage-based),259.2,"{'tier_name': ""Typesense Cloud does not use traditional named tiers but instead offers usage-based pricing. The lowest paid component is the 'Cluster' at $0.03/hour [aba320], which is the core infrastructure charge that begins after free tier consumption (720 hours free per account lifetime [a86cb6])."", 'lowest_paid_tier_annual_price': 'Calculated from the cluster hourly rate of $0.03/hour shown on the official pricing page [aba320]. Monthly cost: $0.03/hr × 730 hours/month = $21.90/month (actual may vary slightly based on exact days/hours). Using $21.60/month as documented [aba320], annual cost = $21.60 × 12 = $259.20 USD. This represents the minimum paid usage cost excluding the complimentary 720-hour free tier allocation.'}"
Meilisearch Cloud,Build,360.0,"{'tier_name': ""The lowest paid tier for Meilisearch Cloud is called 'Build' according to the official Meilisearch pricing page [6975eb]. This tier is part of their usage-based pricing plans and is designed for small projects and testing."", 'lowest_paid_tier_annual_price': ""The Build tier starts at $30/month according to the Meilisearch pricing page [6975eb]. Annual price calculated as $30/month × 12 months = $360 USD. This information was current as of January 2026 based on the source's last update date.""}"
Orama,Build,1200.0,"{'tier_name': ""The lowest paid tier is named 'Build' according to Orama's official pricing page [376e03]."", 'lowest_paid_tier_annual_price': 'The Build tier is priced at $100 per month [376e03]. Annual price calculated as $100 × 12 months = $1,200 USD per year. This is the lowest-cost paid tier; the next tier up (Scale) costs $1,450 per month, and Enterprise tier requires custom pricing [376e03].'}"
Snowflake,N/A - Consumption-Based Model,0.0,"{'lowest_paid_tier_annual_price': 'Snowflake does not offer traditional fixed-price subscription tiers. Instead, the company uses a consumption-based pricing model where charges are based on actual usage [a84050]. The lowest tier is Standard edition at $2.00 per credit USD [a84050], plus storage costs of $23.00 per TB per month [a84050]. Since Snowflake charges per credit consumed and per TB stored rather than offering fixed monthly or annual subscription plans, there is no fixed annual price for a lowest paid tier. Multiple sources confirm Snowflake follows a pay-as-you-go model with no flat rate or fixed monthly cost, and no minimum usage commitment for on-demand pricing [cc451c]. Therefore, 0 was reported per the task instructions for products where pricing is not structured as fixed subscriptions.', 'tier_name': ""Snowflake's editions are Standard, Enterprise, Business Critical, and Virtual Private Snowflake (VPS) [a84050]. However, these represent feature tiers, not pricing tiers with fixed costs. The Standard edition represents the lowest tier offering, but it does not have a fixed annual price [a84050, cc451c].""}"
Databricks,Premium,0.0,"{'tier_name': 'Databricks does not offer traditional fixed-tier subscription plans. Instead, it uses a pay-as-you-go model based on Databricks Units (DBUs) with per-second billing [489c6e]. While there are platform tiers (Premium and Enterprise) mentioned in search results, these are usage-based tiers, not fixed subscription plans [489c6e]. Since there are no fixed monthly or annual prices for paid tiers, only consumption-based pricing starting at various rates like $0.07/DBU for AI workloads and $0.15/DBU for Data Engineering [489c6e], and because the task requires identifying a lowest paid tier with a clear annual price, the standard approach would be to report the lowest-cost tier available (Premium tier for platform features), though it has no fixed annual price.', 'lowest_paid_tier_annual_price': ""Databricks operates on a pay-as-you-go pricing model with no fixed monthly or annual subscription plans [489c6e]. There are no predefined annual prices for any tier. Pricing is consumption-based, measured in DBUs (Databricks Units), with rates varying by product category and workload type (starting from $0.07/DBU for AI workloads to $0.40/DBU for interactive workloads) [489c6e]. Since the product has no fixed paid tier pricing structure, 0 is reported per the task instructions for when pricing isn't publicly available in traditional subscription form.""}"
BigQuery,No traditional tier-based pricing,0.0,"{'lowest_paid_tier_annual_price': 'BigQuery does not offer traditional subscription tiers with fixed prices. Instead, it uses usage-based pricing with on-demand compute at $6.25 per 1 TiB per month (after 1 TiB free) and slot-based capacity options. Since there is no fixed monthly or annual subscription tier, 0 was used per task instructions [4ce45b].', 'tier_name': ""BigQuery uses a usage-based pricing model rather than named tiers. Pricing consists of compute charges (on-demand at $6.25/TiB or slot-based capacity) and storage charges, with no traditional 'tier' structure like typical SaaS products [4ce45b].""}"
